,id_card
1688,978655
1689,1625755
1690,1819096
1691,1738690
1692,1847904
1693,1394878
1694,1335292
1695,968646
1696,1152349
1697,1674099
1698,972936
1699,649773
1700,1758867
1701,1637340
1702,978110
1703,670765
1704,942817
1705,1165137
1706,1854700
1707,859764
1708,1422960
1709,1250994
1710,974549
1711,42805
1712,1705745
1713,890458
1714,1546958
1715,1343205
1716,1522508
1717,477963
1718,1630545
1719,527091
1720,1669090
1721,50003
1722,1234919
1723,782223
1724,161515
1725,1151977
1726,985521
1727,1369110
1728,402335
1729,978113
1730,1427766
1731,1797316
1732,890395
1733,631605
1734,890318
1735,1625679
1736,75
1737,1578470
1738,365683
1739,557208
1740,1115081
1741,639362
1742,421922
1743,639418
1744,722740
1745,978235
1746,327539
1747,26640
1748,1398790
1749,1206873
1750,685768
1751,1863930
1752,421958
1753,156402
1754,995241
1755,215919
1756,1634010
1757,1152243
1758,674242
1759,422030
1760,1766415
1761,1388714
1762,1125434
1763,654420
1764,605705
1765,1605378
1766,197339
1767,1625656
1768,338
1769,816265
1770,422006
1771,287117
1772,551365
1773,1285209
1774,388882
1775,4359
1776,397066
1777,504157
1778,890699
1779,964259
1780,1864825
1781,366275
1782,259637
1783,366711
1784,925472
1785,1328014
1786,1147593
1787,1155218
1788,921411
1789,1706341
1790,314250
1791,496186
1792,921090
1793,543897
1794,441244
1795,1074513
1796,1432859
1797,1235822
1798,1616448
1799,1707082
1800,958190
1801,592546
1802,1826677
1803,450982
1804,1300232
1805,1190671
1806,1281539
1807,990687
1808,1194211
1809,1412645
1810,1099938
1811,1446543
1812,1150187
1813,139752
1814,725661
1815,1257854
1816,1147216
1817,1713753
1818,978302
1819,421387
1820,1705145
1821,1422284
1822,1552033
1823,421920
1824,394594
1825,1763921
1826,1343472
1827,1152370
1828,961606
1829,1612181
1830,1152359
1831,359156
1832,327803
1833,278657
1834,76652
1835,1049812
1836,1422959
1837,1146999
1838,1582302
1839,1474715
1840,857237
1841,838644
1842,1378018
1843,473674
1844,1495051
1845,397063
1846,890442
1847,310199
1848,169233
